Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
ZQF13,01/21/2013,99.8525,99.86,99.8525,99.855,0,0.00%,24083,371488
ZQF13,01/14/2013,99.855,99.8575,99.8475,99.855,0.0025,0.00%,33513,372266
ZQF13,01/07/2013,99.8425,99.8575,99.8425,99.8525,0.0125,0.01%,15262,358678
ZQF13,12/31/2012,99.84,99.845,99.835,99.84,0.005,0.01%,25344,353912
ZQZ12,12/24/2012,99.8325,99.84,99.83,99.835,0.0025,0.00%,16128,442772
ZQZ12,12/17/2012,99.84,99.84,99.83,99.8325,-0.01,-0.01%,47122,423970
ZQZ12,12/10/2012,99.8425,99.8425,99.84,99.8425,0,0.00%,14506,349459
ZQZ12,12/03/2012,99.8425,99.845,99.84,99.8425,-0.0025,0.00%,13304,335701
ZQX12,11/26/2012,99.8375,99.845,99.8375,99.845,0.0075,0.01%,18288,379499
ZQX12,11/19/2012,99.8375,99.8375,99.835,99.8375,0,0.00%,10884,382291
ZQX12,11/12/2012,99.84,99.84,99.8325,99.8375,0,0.00%,13611,375631
ZQX12,11/05/2012,99.835,99.84,99.8325,99.8375,-0.0025,0.00%,15964,364078
ZQV12,10/29/2012,99.8425,99.8425,99.83,99.84,-0.0025,0.00%,15210,376739
ZQV12,10/22/2012,99.845,99.8475,99.83,99.8425,-0.0025,0.00%,30570,401949
ZQV12,10/15/2012,99.8475,99.85,99.8425,99.845,-0.005,-0.01%,23441,380844
ZQV12,10/08/2012,99.8475,99.8525,99.8475,99.85,0,0.00%,11182,374194
ZQV12,10/01/2012,99.86,99.86,99.8475,99.85,-0.005,-0.01%,16636,372794
ZQU12,09/24/2012,99.855,99.86,99.8475,99.855,0.0025,0.00%,16104,428228
ZQU12,09/17/2012,99.855,99.855,99.85,99.8525,-0.0025,0.00%,14308,431455
ZQU12,09/10/2012,99.855,99.865,99.8525,99.855,0,0.00%,25121,427199
ZQU12,09/03/2012,99.8675,99.8725,99.85,99.855,-0.01,-0.01%,28744,418639
ZQQ12,08/27/2012,99.8675,99.88,99.865,99.865,0,0.00%,26169,471603
ZQQ12,08/20/2012,99.865,99.865,99.8625,99.865,0.0025,0.00%,21492,461209
ZQQ12,08/13/2012,99.855,99.865,99.855,99.8625,0.0075,0.01%,16523,447124
ZQQ12,08/06/2012,99.855,99.8575,99.85,99.855,0,0.00%,23907,434278
ZQQ12,07/30/2012,99.855,99.87,99.845,99.855,0.015,0.02%,34141,461991
ZQN12,07/23/2012,99.845,99.845,99.84,99.84,0,0.00%,21408,495195
ZQN12,07/16/2012,99.8375,99.845,99.8275,99.84,0.005,0.01%,37929,485768
ZQN12,07/09/2012,99.835,99.8375,99.83,99.835,0,0.00%,29196,487958
ZQN12,07/02/2012,99.83,99.8375,99.825,99.835,0.01,0.01%,23664,486338
ZQN12,06/25/2012,99.825,99.83,99.82,99.825,0,0.00%,17097,518668
ZQN12,06/18/2012,99.84,99.845,99.815,99.825,-0.01,-0.01%,39552,520563
ZQN12,06/11/2012,99.845,99.845,99.82,99.835,-0.005,-0.01%,35668,506508
ZQN12,06/04/2012,99.845,99.845,99.84,99.84,0,0.00%,14711,495932
ZQK12,05/28/2012,99.845,99.845,99.835,99.84,-0.0025,0.00%,36412,517903
ZQK12,05/21/2012,99.8425,99.845,99.84,99.8425,0.0025,0.00%,25442,537614
ZQK12,05/14/2012,99.845,99.845,99.8375,99.84,-0.005,-0.01%,22288,528886
ZQK12,05/07/2012,99.855,99.8575,99.845,99.845,-0.0125,-0.01%,24525,506732
ZQK12,04/30/2012,99.865,99.865,99.8525,99.8575,-0.0075,-0.01%,21908,491581
ZQK12,04/23/2012,99.865,99.875,99.86,99.865,0,0.00%,29731,525411
ZQK12,04/16/2012,99.865,99.87,99.86,99.865,0.005,0.01%,25610,520665
ZQK12,04/09/2012,99.865,99.87,99.855,99.86,0,0.00%,39812,522490
ZQK12,04/02/2012,99.88,99.88,99.86,99.86,-0.015,-0.02%,26997,522716
ZQH12,03/26/2012,99.87,99.88,99.87,99.875,0.005,0.01%,28174,572835
ZQH12,03/19/2012,99.875,99.875,99.8625,99.87,-0.0075,-0.01%,28627,557672
ZQH12,03/12/2012,99.8825,99.885,99.8725,99.8775,-0.0075,-0.01%,38423,536286
ZQH12,03/05/2012,99.8925,99.8925,99.88,99.885,-0.005,-0.01%,30835,516411
ZQG12,02/27/2012,99.8975,99.8975,99.88,99.89,-0.005,-0.01%,19755,543399
ZQG12,02/20/2012,99.8925,99.8975,99.89,99.895,0.005,0.01%,30794,554910
ZQG12,02/13/2012,99.88,99.8925,99.8775,99.89,0.0075,0.01%,34186,529214
ZQG12,02/06/2012,99.89,99.895,99.875,99.8825,-0.0125,-0.01%,53679,508647
ZQG12,01/30/2012,99.91,99.915,99.885,99.895,-0.0225,-0.02%,43773,511184
ZQF12,01/23/2012,99.915,99.92,99.915,99.9175,0,0.00%,19808,532892
ZQF12,01/16/2012,99.9225,99.9225,99.915,99.9175,-0.0075,-0.01%,23068,523999
ZQF12,01/09/2012,99.9275,99.9275,99.9225,99.925,-0.0025,0.00%,16103,516241
ZQF12,01/02/2012,99.925,99.93,99.9225,99.9275,0.0075,0.01%,24632,514681
ZQF12,12/26/2011,99.925,99.925,99.915,99.92,-0.0075,-0.01%,17919,556848
ZQZ11,12/19/2011,99.925,99.93,99.925,99.9275,0.0025,0.00%,21654,568879
ZQZ11,12/12/2011,99.92,99.9275,99.92,99.925,0.005,0.01%,15639,571622
